"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","19","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking Units of measurement - For temperature in Fahrenheit use units=imperial",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","236","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking weather by zip code",""
"passed","Fri Jul 01 10:40:11 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","188","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking the weather by city",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","21","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking Units of measurement - For temperature in Kelvin use units=standard",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","28","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking cities in circle",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","18","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Search weather data by city name with invalid api key",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","20","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking Units of measurement - For temperature in Celsius use units=metric",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","33","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking the weather by id",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","37","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking Call back function",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","28","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking weather by not found zip code",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","35","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking weather by longitude and latitude",""
"failed","Fri Jul 01 10:40:13 UTC 2022","Fri Jul 01 10:40:13 UTC 2022","49","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking cities within a rectangle zone",""
"passed","Fri Jul 01 10:40:12 UTC 2022","Fri Jul 01 10:40:12 UTC 2022","122","Robot Samples Api Test","Features","Specifications.Weather.Weather Spec","","","Checking multilingual support",""
